Vteam,Hteam
Brooklyn Nets,Denver Nuggets
Detroit Pistons,Charlotte Hornets
San Antonio Spurs,Orlando Magic
Indiana Pacers,Houston Rockets
Utah Jazz,Memphis Grizzlies
Washington Wizards,Minnesota Timberwolves
Philadelphia 76ers,Oklahoma City Thunder
Boston Celtics,Golden State Warriors
Sacramento Kings,Los Angeles Lakers
Brooklyn Nets,Chicago Bulls
Milwaukee Bucks,Indiana Pacers
Charlotte Hornets,New York Knicks
New Orleans Pelicans,Miami Heat
Houston Rockets,Minnesota Timberwolves
Toronto Raptors,Dallas Mavericks
Portland Trail Blazers,San Antonio Spurs
Atlanta Hawks,Los Angeles Clippers
Philadelphia 76ers,Cleveland Cavaliers
Boston Celtics,Sacramento Kings
Denver Nuggets,Memphis Grizzlies
Washington Wizards,Orlando Magic
Golden State Warriors,New Orleans Pelicans
Atlanta Hawks,Los Angeles Lakers
Cleveland Cavaliers,New York Knicks
Indiana Pacers,Brooklyn Nets
Charlotte Hornets,Toronto Raptors
Milwaukee Bucks,Chicago Bulls
Portland Trail Blazers,Houston Rockets
San Antonio Spurs,Dallas Mavericks
Boston Celtics,Phoenix Suns
Minnesota Timberwolves,Utah Jazz
Oklahoma City Thunder,Los Angeles Clippers
Golden State Warriors,Memphis Grizzlies
Portland Trail Blazers,New Orleans Pelicans
Phoenix Suns,Sacramento Kings
Oklahoma City Thunder,Los Angeles Lakers
New York Knicks,Philadelphia 76ers
San Antonio Spurs,Washington Wizards
Milwaukee Bucks,Atlanta Hawks
Charlotte Hornets,Brooklyn Nets
Golden State Warriors,Dallas Mavericks
Cleveland Cavaliers,Miami Heat
Orlando Magic,Toronto Raptors
Detroit Pistons,Chicago Bulls
Utah Jazz,Minnesota Timberwolves
Houston Rockets,Denver Nuggets
Boston Celtics,Los Angeles Clippers
Portland Trail Blazers,Milwaukee Bucks
New Orleans Pelicans,Phoenix Suns
Atlanta Hawks,Detroit Pistons
Charlotte Hornets,Washington Wizards
Sacramento Kings,Brooklyn Nets
Miami Heat,Chicago Bulls
Los Angeles Lakers,Oklahoma City Thunder
San Antonio Spurs,Philadelphia 76ers
Cleveland Cavaliers,Dallas Mavericks
Boston Celtics,Denver Nuggets
Golden State Warriors,Utah Jazz
Houston Rockets,Los Angeles Clippers
Phoenix Suns,Minnesota Timberwolves
Chicago Bulls,Charlotte Hornets
Orlando Magic,Indiana Pacers
Toronto Raptors,Atlanta Hawks
San Antonio Spurs,New York Knicks
Miami Heat,Philadelphia 76ers
Portland Trail Blazers,Cleveland Cavaliers
Los Angeles Lakers,Memphis Grizzlies
Detroit Pistons,Milwaukee Bucks
New Orleans Pelicans,Utah Jazz
Dallas Mavericks,Houston Rockets
Brooklyn Nets,New York Knicks
Sacramento Kings,Washington Wizards
Phoenix Suns,Denver Nuggets
New Orleans Pelicans,Los Angeles Clippers
Brooklyn Nets,Cleveland Cavaliers
Orlando Magic,Detroit Pistons
Memphis Grizzlies,Indiana Pacers
Minnesota Timberwolves,Atlanta Hawks
Sacramento Kings,Boston Celtics
Charlotte Hornets,Miami Heat
Philadelphia 76ers,Toronto Raptors
Portland Trail Blazers,Chicago Bulls
Utah Jazz,Milwaukee Bucks
Los Angeles Lakers,San Antonio Spurs
Oklahoma City Thunder,Golden State Warriors
Los Angeles Clippers,Dallas Mavericks
Washington Wizards,Denver Nuggets
Brooklyn Nets,Boston Celtics
Detroit Pistons,Charlotte Hornets
Orlando Magic,Cleveland Cavaliers
Utah Jazz,Indiana Pacers
Sacramento Kings,Philadelphia 76ers
New York Knicks,Toronto Raptors
Miami Heat,Houston Rockets
Los Angeles Clippers,Memphis Grizzlies
Atlanta Hawks,Milwaukee Bucks
Minnesota Timberwolves,San Antonio Spurs
Washington Wizards,Phoenix Suns
Los Angeles Lakers,New Orleans Pelicans
Oklahoma City Thunder,Portland Trail Blazers
Chicago Bulls,Golden State Warriors
Boston Celtics,Brooklyn Nets
Charlotte Hornets,Detroit Pistons
Toronto Raptors,Orlando Magic
Milwaukee Bucks,Cleveland Cavaliers
Philadelphia 76ers,New York Knicks
Atlanta Hawks,Indiana Pacers
Utah Jazz,Memphis Grizzlies
Golden State Warriors,Miami Heat
New Orleans Pelicans,Oklahoma City Thunder
Los Angeles Clippers,San Antonio Spurs
Dallas Mavericks,Phoenix Suns
Chicago Bulls,Portland Trail Blazers
Washington Wizards,Los Angeles Lakers
Denver Nuggets,Sacramento Kings
Indiana Pacers,Philadelphia 76ers
Atlanta Hawks,Houston Rockets
Charlotte Hornets,Milwaukee Bucks
Miami Heat,Brooklyn Nets
Memphis Grizzlies,Minnesota Timberwolves
Boston Celtics,New York Knicks
Dallas Mavericks,Los Angeles Lakers
San Antonio Spurs,Detroit Pistons
Oklahoma City Thunder,New Orleans Pelicans
Golden State Warriors,Orlando Magic
Utah Jazz,Toronto Raptors
Washington Wizards,Los Angeles Clippers
Phoenix Suns,Charlotte Hornets
Utah Jazz,Philadelphia 76ers
Golden State Warriors,Atlanta Hawks
Indiana Pacers,Memphis Grizzlies
New York Knicks,Milwaukee Bucks
Chicago Bulls,Sacramento Kings
Detroit Pistons,Cleveland Cavaliers
Orlando Magic,Washington Wizards
Dallas Mavericks,New Orleans Pelicans
Miami Heat,Toronto Raptors
Houston Rockets,San Antonio Spurs
Los Angeles Lakers,Denver Nuggets
Portland Trail Blazers,Los Angeles Clippers
Golden State Warriors,Charlotte Hornets
Milwaukee Bucks,Detroit Pistons
Phoenix Suns,Orlando Magic
Brooklyn Nets,Atlanta Hawks
Miami Heat,Boston Celtics
Memphis Grizzlies,Chicago Bulls
Indiana Pacers,Oklahoma City Thunder
Minnesota Timberwolves,Dallas Mavericks
Los Angeles Lakers,Utah Jazz
Sacramento Kings,Portland Trail Blazers
Philadelphia 76ers,Washington Wizards
Denver Nuggets,New York Knicks
Houston Rockets,Toronto Raptors
Phoenix Suns,New Orleans Pelicans
Brooklyn Nets,Charlotte Hornets
Orlando Magic,Cleveland Cavaliers
Indiana Pacers,Detroit Pistons
Denver Nuggets,Boston Celtics
Golden State Warriors,Chicago Bulls
Washington Wizards,Miami Heat
Minnesota Timberwolves,Oklahoma City Thunder
Los Angeles Clippers,Milwaukee Bucks
Sacramento Kings,San Antonio Spurs
Los Angeles Lakers,Portland Trail Blazers
New Orleans Pelicans,Dallas Mavericks
Indiana Pacers,New York Knicks
Cleveland Cavaliers,Philadelphia 76ers
Phoenix Suns,Houston Rockets
Memphis Grizzlies,Utah Jazz
Denver Nuggets,Brooklyn Nets
Atlanta Hawks,Charlotte Hornets
Chicago Bulls,Miami Heat
Toronto Raptors,Philadelphia 76ers
Los Angeles Clippers,Washington Wizards
Sacramento Kings,Dallas Mavericks
Oklahoma City Thunder,Portland Trail Blazers
Minnesota Timberwolves,Los Angeles Lakers
Los Angeles Clippers,Indiana Pacers
Cleveland Cavaliers,Boston Celtics
Toronto Raptors,Chicago Bulls
Sacramento Kings,Houston Rockets
Orlando Magic,Milwaukee Bucks
Detroit Pistons,New Orleans Pelicans
Minnesota Timberwolves,Phoenix Suns
Oklahoma City Thunder,Utah Jazz
Memphis Grizzlies,Golden State Warriors
Washington Wizards,Charlotte Hornets
Atlanta Hawks,Miami Heat
Denver Nuggets,Philadelphia 76ers
New York Knicks,Portland Trail Blazers
Houston Rockets,Cleveland Cavaliers
Boston Celtics,Indiana Pacers
Los Angeles Lakers,Orlando Magic
Los Angeles Clippers,Toronto Raptors
Charlotte Hornets,Brooklyn Nets
Atlanta Hawks,Chicago Bulls
Utah Jazz,Minnesota Timberwolves
Memphis Grizzlies,Phoenix Suns
New Orleans Pelicans,Milwaukee Bucks
Oklahoma City Thunder,Sacramento Kings
New York Knicks,Golden State Warriors
Philadelphia 76ers,Boston Celtics
Cleveland Cavaliers,San Antonio Spurs
Dallas Mavericks,Detroit Pistons
Portland Trail Blazers,Denver Nuggets
Los Angeles Lakers,Miami Heat
Houston Rockets,Orlando Magic
New Orleans Pelicans,Philadelphia 76ers
Indiana Pacers,Atlanta Hawks
Charlotte Hornets,Chicago Bulls
Milwaukee Bucks,Memphis Grizzlies
Golden State Warriors,Utah Jazz
Los Angeles Clippers,Minnesota Timberwolves
New York Knicks,Sacramento Kings
San Antonio Spurs,Phoenix Suns
Brooklyn Nets,Toronto Raptors
Los Angeles Clippers,Chicago Bulls
