WTeam,LTeam,WLoc
Dallas Mavericks,Washington Wizards,H
Brooklyn Nets,Phoenix Suns,V
Portland Trail Blazers,Milwaukee Bucks,H
Oklahoma City Thunder,Cleveland Cavaliers,V
Detroit Pistons,Orlando Magic,V
New York Knicks,Atlanta Hawks,V
Miami Heat,San Antonio Spurs,H
Philadelphia 76ers,Indiana Pacers,V
Memphis Grizzlies,Denver Nuggets,H
New Orleans Pelicans,Chicago Bulls,H
Utah Jazz,Dallas Mavericks,H
Toronto Raptors,Sacramento Kings,V
Los Angeles Lakers,Minnesota Timberwolves,H
Oklahoma City Thunder,Houston Rockets,H
Boston Celtics,Phoenix Suns,V
Portland Trail Blazers,Los Angeles Clippers,H
Milwaukee Bucks,Golden State Warriors,V
Orlando Magic,Washington Wizards,H
Philadelphia 76ers,Charlotte Hornets,H
Detroit Pistons,Atlanta Hawks,V
Indiana Pacers,Miami Heat,V
Brooklyn Nets,Denver Nuggets,V
Utah Jazz,Boston Celtics,H
Sacramento Kings,Minnesota Timberwolves,H
Toronto Raptors,New York Knicks,H
Los Angeles Clippers,Milwaukee Bucks,H
New Orleans Pelicans,Phoenix Suns,H
Chicago Bulls,Cleveland Cavaliers,H
Memphis Grizzlies,Philadelphia 76ers,H
Washington Wizards,Miami Heat,V
Golden State Warriors,Brooklyn Nets,H
San Antonio Spurs,Houston Rockets,H
Dallas Mavericks,Oklahoma City Thunder,H
Los Angeles Lakers,Sacramento Kings,V
Charlotte Hornets,Detroit Pistons,V
Houston Rockets,Indiana Pacers,H
Orlando Magic,New York Knicks,V
Milwaukee Bucks,Denver Nuggets,V
Portland Trail Blazers,Boston Celtics,H
Los Angeles Lakers,Atlanta Hawks,H
Washington Wizards,Orlando Magic,H
Philadelphia 76ers,Miami Heat,V
New Orleans Pelicans,Toronto Raptors,V
Dallas Mavericks,Chicago Bulls,V
Utah Jazz,Memphis Grizzlies,V
Minnesota Timberwolves,Brooklyn Nets,H
Oklahoma City Thunder,Phoenix Suns,H
Sacramento Kings,San Antonio Spurs,H
Los Angeles Clippers,Golden State Warriors,H
Cleveland Cavaliers,Charlotte Hornets,H
Houston Rockets,Denver Nuggets,V
Golden State Warriors,Atlanta Hawks,H
Orlando Magic,Philadelphia 76ers,H
Washington Wizards,Cleveland Cavaliers,H
Boston Celtics,Chicago Bulls,H
Miami Heat,Brooklyn Nets,V
Detroit Pistons,Toronto Raptors,V
Memphis Grizzlies,Milwaukee Bucks,V
Minnesota Timberwolves,New Orleans Pelicans,H
Oklahoma City Thunder,New York Knicks,H
Dallas Mavericks,Utah Jazz,H
Phoenix Suns,San Antonio Spurs,H
Los Angeles Lakers,Portland Trail Blazers,H
Houston Rockets,Golden State Warriors,H
Denver Nuggets,Atlanta Hawks,H
Los Angeles Clippers,San Antonio Spurs,H
Boston Celtics,Toronto Raptors,H
Indiana Pacers,Miami Heat,H
Philadelphia 76ers,Utah Jazz,H
Brooklyn Nets,Washington Wizards,V
Memphis Grizzlies,Sacramento Kings,H
Minnesota Timberwolves,Portland Trail Blazers,H
New Orleans Pelicans,New York Knicks,H
Milwaukee Bucks,Chicago Bulls,H
Los Angeles Clippers,Brooklyn Nets,V
Philadelphia 76ers,Charlotte Hornets,V
Indiana Pacers,Atlanta Hawks,H
New Orleans Pelicans,Denver Nuggets,H
Orlando Magic,Los Angeles Lakers,H
Utah Jazz,Boston Celtics,V
Toronto Raptors,Chicago Bulls,V
Houston Rockets,Sacramento Kings,H
Dallas Mavericks,Golden State Warriors,H
Oklahoma City Thunder,Phoenix Suns,V
Memphis Grizzlies,Minnesota Timberwolves,V
Los Angeles Lakers,Miami Heat,V
Orlando Magic,New York Knicks,H
Portland Trail Blazers,Washington Wizards,V
San Antonio Spurs,Golden State Warriors,H
Charlotte Hornets,Boston Celtics,H
Detroit Pistons,Cleveland Cavaliers,H
Indiana Pacers,Utah Jazz,H
Philadelphia 76ers,Phoenix Suns,H
Los Angeles Clippers,Atlanta Hawks,V
Memphis Grizzlies,Dallas Mavericks,H
Milwaukee Bucks,Denver Nuggets,H
New Orleans Pelicans,San Antonio Spurs,H
Sacramento Kings,Oklahoma City Thunder,H
Toronto Raptors,Orlando Magic,V
Washington Wizards,Los Angeles Clippers,H
Brooklyn Nets,Miami Heat,V
Portland Trail Blazers,New York Knicks,V
Charlotte Hornets,Indiana Pacers,H
Philadelphia 76ers,New Orleans Pelicans,H
Toronto Raptors,Atlanta Hawks,V
New York Knicks,Boston Celtics,V
Chicago Bulls,Phoenix Suns,H
Los Angeles Lakers,Cleveland Cavaliers,V
Houston Rockets,Detroit Pistons,H
Milwaukee Bucks,Portland Trail Blazers,H
Denver Nuggets,Minnesota Timberwolves,V
Dallas Mavericks,Brooklyn Nets,H
Memphis Grizzlies,San Antonio Spurs,V
Sacramento Kings,Utah Jazz,V
Oklahoma City Thunder,Golden State Warriors,V
Minnesota Timberwolves,Brooklyn Nets,V
Los Angeles Clippers,Memphis Grizzlies,H
Detroit Pistons,Houston Rockets,H
Boston Celtics,Atlanta Hawks,V
New York Knicks,New Orleans Pelicans,H
Cleveland Cavaliers,Philadelphia 76ers,V
Toronto Raptors,Washington Wizards,H
Miami Heat,Chicago Bulls,V
San Antonio Spurs,Indiana Pacers,V
Oklahoma City Thunder,Charlotte Hornets,H
Phoenix Suns,Milwaukee Bucks,V
Denver Nuggets,Orlando Magic,H
Golden State Warriors,Portland Trail Blazers,H
Los Angeles Lakers,Utah Jazz,H
Cleveland Cavaliers,Houston Rockets,H
Minnesota Timberwolves,Chicago Bulls,H
Denver Nuggets,Oklahoma City Thunder,V
Washington Wizards,New Orleans Pelicans,H
Dallas Mavericks,Boston Celtics,H
Golden State Warriors,Sacramento Kings,H
Milwaukee Bucks,San Antonio Spurs,H
Orlando Magic,Los Angeles Lakers,V
Detroit Pistons,Phoenix Suns,H
Atlanta Hawks,Charlotte Hornets,H
Philadelphia 76ers,Brooklyn Nets,V
New York Knicks,Memphis Grizzlies,V
Toronto Raptors,Miami Heat,H
Utah Jazz,Sacramento Kings,V
Los Angeles Clippers,Portland Trail Blazers,V
Charlotte Hornets,Milwaukee Bucks,H
Minnesota Timberwolves,Cleveland Cavaliers,V
Washington Wizards,Houston Rockets,H
San Antonio Spurs,Chicago Bulls,V
Boston Celtics,New Orleans Pelicans,V
Indiana Pacers,Utah Jazz,V
Golden State Warriors,Orlando Magic,H
Detroit Pistons,New York Knicks,H
Atlanta Hawks,Miami Heat,V
Toronto Raptors,Memphis Grizzlies,V
Denver Nuggets,Los Angeles Lakers,H
Indiana Pacers,Phoenix Suns,V
Charlotte Hornets,Atlanta Hawks,H
Philadelphia 76ers,New York Knicks,H
Utah Jazz,Brooklyn Nets,V
Dallas Mavericks,Houston Rockets,V
Milwaukee Bucks,Chicago Bulls,H
Minnesota Timberwolves,San Antonio Spurs,H
New Orleans Pelicans,Washington Wizards,H
Oklahoma City Thunder,Cleveland Cavaliers,H
Portland Trail Blazers,Orlando Magic,H
Los Angeles Clippers,Phoenix Suns,H
Toronto Raptors,Golden State Warriors,H
Los Angeles Lakers,Indiana Pacers,H
Los Angeles Clippers,Sacramento Kings,V
Boston Celtics,Cleveland Cavaliers,H
Utah Jazz,Charlotte Hornets,V
Detroit Pistons,Chicago Bulls,H
Philadelphia 76ers,Washington Wizards,H
Memphis Grizzlies,Brooklyn Nets,V
Miami Heat,New Orleans Pelicans,H
Oklahoma City Thunder,Atlanta Hawks,H
Houston Rockets,San Antonio Spurs,V
Orlando Magic,Phoenix Suns,V
Los Angeles Lakers,Dallas Mavericks,H
Denver Nuggets,Portland Trail Blazers,V
New York Knicks,Milwaukee Bucks,H
Detroit Pistons,Golden State Warriors,H
Washington Wizards,Brooklyn Nets,H
Toronto Raptors,Cleveland Cavaliers,V
Houston Rockets,Chicago Bulls,H
Boston Celtics,Minnesota Timberwolves,V
Sacramento Kings,Indiana Pacers,H
Los Angeles Lakers,Phoenix Suns,H
New Orleans Pelicans,Charlotte Hornets,V
Miami Heat,Utah Jazz,H
Philadelphia 76ers,Memphis Grizzlies,H
Dallas Mavericks,Los Angeles Clippers,H
San Antonio Spurs,Portland Trail Blazers,H
Oklahoma City Thunder,Detroit Pistons,V
Golden State Warriors,Atlanta Hawks,V
Cleveland Cavaliers,Brooklyn Nets,V
Washington Wizards,New York Knicks,V
Denver Nuggets,Toronto Raptors,V
Minnesota Timberwolves,Houston Rockets,H
Los Angeles Clippers,New Orleans Pelicans,V
Indiana Pacers,Chicago Bulls,H
Orlando Magic,Miami Heat,V
Dallas Mavericks,Portland Trail Blazers,H
Sacramento Kings,Phoenix Suns,V
Utah Jazz,San Antonio Spurs,H
